"נתוני שערים - הראל קרנות נאמנות בע""מ - הרל.NDX 100 ממ",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
21/07/2022,11540,4072.57
20/07/2022,11370,508.08
19/07/2022,11130,2260.28
18/07/2022,11210,2834.45
17/07/2022,11060,35.62
14/07/2022,10720,1876.6
13/07/2022,10790,3993.43
12/07/2022,11000,2094.53
11/07/2022,11010,3180.06
10/07/2022,11220,17.16
07/07/2022,11070,51546.9
06/07/2022,10970,4473.66
05/07/2022,10590,1480.25
04/07/2022,10690,724.06
03/07/2022,10700,87.48
30/06/2022,10560,1029.12
29/06/2022,10830,1128.41
28/06/2022,11200,2213.73
27/06/2022,11190,16362.24
26/06/2022,11160,110.35
23/06/2022,10770,3107.85
22/06/2022,10780,932.05
21/06/2022,10710,266.62
20/06/2022,10560,15238.04
19/06/2022,10500,142.56
16/06/2022,10510,2582.35
15/06/2022,10670,1359.09
14/06/2022,10560,1965.93
13/06/2022,10700,2504.26
12/06/2022,11100,173.71
09/06/2022,11730,1551.12
08/06/2022,11870,119.8
07/06/2022,11700,1178.08
06/06/2022,11850,845.78
02/06/2022,11650,1101.12
01/06/2022,11950,1344.78
31/05/2022,11740,1332.62
30/05/2022,11930,603.38
29/05/2022,11790,136.71
26/05/2022,11230,521.38
25/05/2022,11050,1313.23
24/05/2022,10950,3319.6
23/05/2022,11090,2018.04
22/05/2022,11130,284.11
19/05/2022,11130,1176.3
18/05/2022,11540,411.78
17/05/2022,11630,1423.22
16/05/2022,11550,6032.03
15/05/2022,11480,67.44
12/05/2022,11100,5068.07
11/05/2022,11560,3050.23
10/05/2022,11620,3577.15
09/05/2022,11720,1988.57
08/05/2022,11930,657.84
03/05/2022,12280,2178.9
02/05/2022,12080,2235.17
01/05/2022,12110,97.95
28/04/2022,12330,4560.13
27/04/2022,12400,3958.69
26/04/2022,12520,1086.7
25/04/2022,12520,4913.02
24/04/2022,12650,213.84
20/04/2022,13350,747.76
19/04/2022,13030,216.95
18/04/2022,12990,202.69
17/04/2022,13370,0
14/04/2022,13370,643.06
13/04/2022,13100,764.92
12/04/2022,13400,3282.85
11/04/2022,13320,3862.86
10/04/2022,13510,24.71
07/04/2022,13680,492.96
06/04/2022,13700,478.76
05/04/2022,14130,693.1
04/04/2022,14040,464.57
03/04/2022,14060,43.07
31/03/2022,14120,3149.26
30/03/2022,14280,2447.41
29/03/2022,14290,1944.99
28/03/2022,14000,802.72
27/03/2022,13840,252.14
24/03/2022,13680,4312.09
23/03/2022,13720,1301.27
22/03/2022,13620,219.03
21/03/2022,13490,3270.59
20/03/2022,13490,247.33
16/03/2022,13000,691.24
15/03/2022,12540,424.16
14/03/2022,12580,830.73
13/03/2022,12510,340.56
10/03/2022,12800,330.22
09/03/2022,12850,1740.99
08/03/2022,12530,3043.64
07/03/2022,13010,389.1
06/03/2022,13180,120.06
03/03/2022,13520,492.78
02/03/2022,13320,236.56
01/03/2022,13390,2054.21
28/02/2022,13290,873.03
27/02/2022,13160,201.83
24/02/2022,12610,3214.37
23/02/2022,13230,587.35
22/02/2022,13190,872.13
21/02/2022,13100,432.56
20/02/2022,13170,72.1
17/02/2022,13720,1196.44
16/02/2022,13690,1752.07
15/02/2022,13720,1947.84
14/02/2022,13460,2560.45
13/02/2022,13440,387.98
10/02/2022,14140,1085.35
09/02/2022,14150,1636.75
08/02/2022,13750,970.16
07/02/2022,13940,407.75
06/02/2022,13940,366.13
03/02/2022,13990,1103.23
02/02/2022,14400,774.4
01/02/2022,14030,2765.53
31/01/2022,13910,4804.26
30/01/2022,13670,84.13
27/01/2022,13630,1170.81
26/01/2022,13740,7309.73
25/01/2022,13420,3193.16
24/01/2022,13450,2680.91
23/01/2022,13820,511.69
20/01/2022,14520,1080.46
19/01/2022,14550,1474.15
18/01/2022,14660,1034.71
17/01/2022,14840,686.03
16/01/2022,14880,152.58
13/01/2022,15180,3743.2
12/01/2022,15180,2697.79
11/01/2022,14750,1227.16
10/01/2022,14530,837.28
09/01/2022,14830,474.35
06/01/2022,15200,3796.36
05/01/2022,15410,2074.74
04/01/2022,15740,1389.92
03/01/2022,15560,3610.31
02/01/2022,15570,43.72
30/12/2021,15710,2040.4
29/12/2021,15740,2221.99
28/12/2021,15790,3778.33
27/12/2021,15670,369.88
26/12/2021,15500,94.82
23/12/2021,15460,1503.84
22/12/2021,15250,2256.9
21/12/2021,15010,1020.93
20/12/2021,14870,5016.34
19/12/2021,15250,33.41
16/12/2021,15520,4550.09
15/12/2021,15100,1279.33
14/12/2021,15210,3241.24
13/12/2021,15560,4613.39
12/12/2021,15590,30.87
09/12/2021,15620,2331.37
08/12/2021,15500,5605.64
07/12/2021,15470,2143.64
06/12/2021,14930,4279.62
05/12/2021,15020,115.34
02/12/2021,15170,7274.74
01/12/2021,15540,1952.64
30/11/2021,15550,2681.86
29/11/2021,15500,2672
28/11/2021,15160,963.66
25/11/2021,15640,3307.67
24/11/2021,15450,6855.53
23/11/2021,15630,6788.75
22/11/2021,15950,9614.44
21/11/2021,15770,320.26
18/11/2021,15650,216.42
17/11/2021,15540,1797.64
16/11/2021,15420,194.31
15/11/2021,15490,3481.62
14/11/2021,15510,190.14
11/11/2021,15360,3310.8
10/11/2021,15430,5422.11
09/11/2021,15560,12895.68
08/11/2021,15580,30812.73
07/11/2021,15590,252.04
04/11/2021,15540,1138.08
03/11/2021,15230,490.94
02/11/2021,15240,891.48
01/11/2021,15110,1845.56
31/10/2021,15150,130.06
28/10/2021,14970,1504.97
27/10/2021,14890,1551.32
26/10/2021,14950,1110.63
25/10/2021,14670,372.12
24/10/2021,14610,343.32
21/10/2021,14660,523.64
20/10/2021,14730,1141.73
19/10/2021,14660,1108.65
18/10/2021,14460,599.35
17/10/2021,14480,80.88
14/10/2021,14280,686.95
13/10/2021,14060,888.57
12/10/2021,14060,1001.67
11/10/2021,14160,963.18
10/10/2021,14230,160.27
07/10/2021,14270,1099.29
06/10/2021,13900,672.23
05/10/2021,13910,946.11
04/10/2021,13960,1327.13
03/10/2021,14130,236.82
30/09/2021,14130,1060.81
29/09/2021,14190,3241.4
26/09/2021,14670,76.13
23/09/2021,14590,762.9
22/09/2021,14410,374.42
19/09/2021,14710,119.32
14/09/2021,14770,148.26
13/09/2021,14730,779.71
12/09/2021,14840,197.96
09/09/2021,14980,3197.81
05/09/2021,14950,112.24
02/09/2021,14970,404.47
01/09/2021,14950,849.16
31/08/2021,14860,1775.05
30/08/2021,14850,328.89
29/08/2021,14810,27.39
26/08/2021,14670,14355.07
25/08/2021,14710,496.53
24/08/2021,14660,272.8
23/08/2021,14500,327.37
22/08/2021,14450,174.72
19/08/2021,14160,2873
18/08/2021,14330,191.85
17/08/2021,14330,2010.13
16/08/2021,14420,561.05
15/08/2021,14430,52.09
12/08/2021,14340,112.38
11/08/2021,14420,3131.86
10/08/2021,14520,167.32
09/08/2021,14450,2773.01
08/08/2021,14470,209.03
05/08/2021,14470,362.08
04/08/2021,14390,297.04
03/08/2021,14330,307.28
02/08/2021,14360,447.86
01/08/2021,14360,237.25
29/07/2021,14360,921.56
28/07/2021,14370,422.48
27/07/2021,14440,276.29
26/07/2021,14430,553.91
25/07/2021,14410,67.28
22/07/2021,14230,45.95
21/07/2021,14110,532.04
20/07/2021,13940,505.27
19/07/2021,13890,831.92
15/07/2021,14270,427.64
14/07/2021,14320,1939.94
13/07/2021,14260,2229.29
12/07/2021,14230,576.09
11/07/2021,14140,91.32
08/07/2021,13940,3562.46
07/07/2021,14210,296.17
06/07/2021,14120,1312.82
05/07/2021,14080,192.26
04/07/2021,14080,422.41
01/07/2021,13930,1612.18
30/06/2021,13940,1954.88
29/06/2021,13900,4472.85
28/06/2021,13780,599.65
27/06/2021,13660,71.99
24/06/2021,13770,84.98
23/06/2021,13680,484.07
22/06/2021,13570,304.88
21/06/2021,13480,229.76
20/06/2021,13340,2
17/06/2021,13320,607.99
16/06/2021,13450,1706.42
15/06/2021,13500,531.3
14/06/2021,13430,484.02
13/06/2021,13410,566.58
10/06/2021,13310,1721.82
09/06/2021,13310,353.12
08/06/2021,13260,2413.55
07/06/2021,13170,281.94
06/06/2021,13190,3.96
03/06/2021,12960,1828.63
02/06/2021,13100,1167.49
01/06/2021,13150,3002.53
31/05/2021,13110,468.44
30/05/2021,13160,45.94
27/05/2021,13130,741.75
26/05/2021,13130,447.75
25/05/2021,13120,1183.09
24/05/2021,13010,2673.89
23/05/2021,12820,228.26
20/05/2021,12690,825.96
19/05/2021,12500,2799.56
18/05/2021,12810,325.24
13/05/2021,12570,1642.45
12/05/2021,12640,14009.71
11/05/2021,12660,641.29
10/05/2021,13090,909.69
09/05/2021,13180,109.51
06/05/2021,12980,855.33
05/05/2021,13040,2188.02
04/05/2021,13130,3151.56
03/05/2021,13360,503.14
02/05/2021,13350,288.54
29/04/2021,13450,1295.69
28/04/2021,13400,336.18
27/04/2021,13480,609.19
26/04/2021,13380,618.14
25/04/2021,13350,6.94
22/04/2021,13360,379.65
21/04/2021,13170,762.12
20/04/2021,13290,452.74
19/04/2021,13410,412.08
18/04/2021,13420,97.4
13/04/2021,13280,415.03
12/04/2021,13270,936.86
11/04/2021,13250,455.09
08/04/2021,13200,2395.99
07/04/2021,13040,418.81
06/04/2021,13080,467.37
05/04/2021,12890,766.27
04/04/2021,12870,60.77
01/04/2021,12710,225.55
31/03/2021,12440,381.3
30/03/2021,12380,236.03
29/03/2021,12420,90.62
25/03/2021,12190,580.82
24/03/2021,12520,545.93
22/03/2021,12500,935.98
21/03/2021,12460,261.41
18/03/2021,12480,600.8
17/03/2021,12560,436.4
16/03/2021,12720,751.14
15/03/2021,12480,1108.3
